filename,extension,center_r,center_c,radius
1,jpg,190,290,180
2,jpg,120,260,100
4,jpg,145,130,90
5,jpg,160,190,115
6,jpg,155,165,80
7,jpg,55,75,45
8,jpg,153,255,45
9,jpg,55,75,45
11,jpg,155,165,80
14,jpg,95,130,65
15,jpg,153,250,151
16,jpg,208,245,200
17,jpg,124,125,120
18,jpg,85,85,75
19,jpg,225,285,130
20,jpg,250,225,155
22,jpg,140,190,125
24,jpg,190,190,180
26,jpg,195,248,193
27,jpg,207,253,205
28,jpg,120,80,70
29,jpg,195,240,180
31,jpg,245,190,180
33,jpg,120,195,100
37,jpg,110,125,95
39,jpg,260,265,170
40,jpg,90,100,65
41,jpg,105,170,100
