filename,extension,center_r,center_c,radius, sigma, sample, alpha, beta, gamma, max_iter, error
9,jpg,236,130,70,  3.5, 100, 1, 10, 1, 100,
9801
5965
60.86113661871237
39.13886338128763

36,jpg,135,135,50,  3.5, 100, 1, 10, 2, 100,
3214
468
14.561294337274425
85.43870566272557




failed
2,jpg,270,105,100, 3.5, 100, 1, 10, 1, 100, 17489
3,jpg,255,170,100,  3.5, 100, 1, 10, 1, 100, 19400
4,jpg,310,170,150,  3.5, 100, 1, 10, 1, 100,
6,jpg,160,250,120,  3.5, 100, 1, 10, 1, 100,
7,jpg,180,250,90,  3.5, 100, 1, 10, 1, 100,

8,jpg,220,260,140,  3.5, 100, 1, 10, 1, 100, 40325
10,jpg,180,240,90,  3.5, 100, 1, 10, 1, 100,
11,jpg,190,295,170,  3.5, 100, 1, 10, 1, 100, 7110
12,jpg,200,245,155,  3.5, 100, 1, 10, 1, 100,
14,jpg,180,263,175,  3.5, 100, 1, 10, 1, 100, 6863
16,jpg,105,140,90,  3.5, 100, 1, 10, 1, 100,
17,jpg,105,160,90,  3.5, 100, 1, 10, 1, 100,

18,jpg,180,280,70,  3.5, 100, 1, 10, 1, 100, 12410
19,jpg,215,275,215,  3.5, 100, 1, 10, 1, 100, 20027
20,jpg,180,204,173,  3.5, 100, 1, 10, 1, 100, 5619
22,jpg,180,225,150,  3.5, 100, 1, 10, 1, 100, 2868
23,jpg,200,235,170,  3.5, 100, 1, 10, 1, 100,
24,jpg,150,150,145,  3.5, 100, 1, 10, 1, 100,
25,jpg,240,320,135,  3.5, 100, 1, 10, 1, 100,

26,jpg,230,280,225,  3.5, 100, 1, 10, 1, 100,
29,jpg,105,160,90,  3.5, 100, 1, 10, 1, 100,
30,jpg,105,120,30,  3.5, 100, 1, 10, 2, 100,
32,jpg,83,120,80,  3.5, 100, 1, 10, 1, 100,
33,jpg,115,130,92,  3.5, 100, 1, 10, 1, 100,
35,jpg,140,130,120,  3.5, 100, 1, 10, 1, 100,
37,jpg,110,130,80,  3.5, 100, 1, 10, 1, 100,

38,jpg,210,260,130,  3.5, 100, 1, 10, 1, 100,
39,jpg,70,95,35,  3.5, 100, 1, 10, 2, 100,
42,jpg,160,180,90,  3.5, 100, 1, 10, 1, 100,
44,jpg,190,345,90,  3.5, 100, 1, 10, 1, 100, 16251
